GeneID	Mock.1	Mock.2	Mock.3	RSV.1	RSV.2	RSV.3	Mock.4	P1	P2	P3	P4
VPS33B	304	388	179	602	348	221	198	842	334	885	423
VPS35	4267	4644	2426	4126	2560	1213	2281	5773	3221	5553	2482
VPS36	1195	1269	787	1511	926	568	999	1116	949	884	712
VPS37A	654	630	338	1050	806	358	420	997	1733	791	447
VPS37B	1347	1351	774	2935	1969	1188	676	4220	4314	3336	1809
VPS37C	914	965	673	1348	873	549	606	1075	2848	1019	509
VPS37D	50	53	37	80	78	39	36	53	110	85	49
VPS39	1745	2010	1354	3553	2218	1312	1465	1562	1453	1916	905
VPS41	1198	1288	980	1559	997	496	922	1182	1164	1126	670
VPS45	594	679	395	976	577	341	556	710	507	764	357
VPS4A	1001	1137	687	1495	877	623	554	5186	4235	4477	2278
VPS4B	2372	2149	1375	3784	2484	1347	1258	3761	4197	3654	2405
VPS51	1676	1873	1211	1429	781	498	779	2754	1790	2765	1232
VPS52	966	937	715	1283	772	488	700	1336	722	1288	580
VPS53	2596	2748	1707	3312	1771	1129	1572	1945	1444	2204	1199
VPS54	1149	1188	653	1620	1123	567	796	791	768	781	350
VPS72	393	355	215	683	425	251	200	1505	1467	1668	673
VPS8	798	890	589	1362	923	459	792	558	899	523	336
VPS9D1	343	323	279	486	319	261	271	231	319	234	154
VPS9D1-AS1	35	38	29	64	34	32	62	402	120	216	116
VRK1	259	292	146	212	117	76	153	1119	72	1149	319
VRK2	640	653	313	844	615	298	376	885	1385	648	505
VRK3	1663	1831	939	2134	1243	656	1017	433	790	471	232
VRTN	0	0	0	0	2	0	0	0	0	0	0
VSIG1	17	11	2	12	8	5	6	39	63	69	41
VSIG10	194	228	139	417	302	165	138	365	291	287	127
VSIG10L	13	20	12	56	36	31	10	83	32	89	73
VSIG2	441	483	307	812	444	377	262	109	19	21	13
VSIG4	13	24	18	13	13	5	16	0	0	0	0
VSIG8	91	142	78	118	59	19	120	1	0	0	0
VSNL1	26	45	32	79	52	24	19	511	21	598	444
VSTM1	0	0	0	0	0	0	0	0	0	0	0
VSTM2A	0	0	0	0	0	0	0	0	0	0	0
VSTM2B	0	0	0	0	0	0	0	0	0	0	0
VSTM2L	2327	2392	2052	4350	2596	1692	1386	819	187	570	318
VSTM4	0	0	3	0	0	0	0	2	0	4	0
VSTM5	3	1	7	7	2	2	6	7	2	4	8
VSX1	0	0	0	0	0	0	0	0	0	0	0
VSX2	0	0	0	0	0	0	2	0	0	0	0
VTA1	1182	1253	610	1506	1090	544	592	1418	1271	1397	691
VTCN1	391	489	232	982	575	346	237	42	12	11	122
VTI1A	585	584	395	913	548	343	446	732	728	597	323
VTI1B	500	408	332	620	393	250	253	1499	1878	1545	784
VTN	12	15	16	22	8	5	11	1	0	0	0
VTRNA1-1	1	5	0	5	1	6	0	1	0	0	0
VTRNA1-2	1	2	0	5	5	2	0	2	2	2	3
VTRNA1-3	17	4	4	15	7	8	2	2	9	3	5
